,rouge1,rouge2,rougeL,rougeLsum,bert_score_precision,bert_score_recall,bert_score_f1,gen_len 
en_benchmark,37.601,15.1536,29.8817,,,,,
es_benchmark,31.5071,11.8767,24.0746,,,,,
ru_benchmark,32.2164,13.6386,26.1689,,,,,
en_XX,37.8141,15.1393,30.653,30.6575,79.3936,76.742,78.0031,16.6935 
es_XX,30.4541,11.0365,23.7071,23.7685,74.8201,71.3912,73.0041,18.3704 
ru_RU,31.2706,13.4223,25.1423,25.1084,76.1857,72.4153,74.1954,16.3934 
en_XX_zero_es_XX,15.9908,3.3401,13.0043,13.0075,69.4841,66.8553,68.0873,17.0539 
en_XX_zero_ru_RU,13.6976,3.9748,11.6854,11.7041,68.9982,66.4872,67.6372,14.9752 
en_XX_tuned_es_XX_10,15.9908,3.3401,13.0043,13.0075,69.4841,66.8553,68.0873,17.0539 
en_XX_tuned_es_XX_100,25.3007,6.2723,19.0233,18.9938,71.8288,69.56,70.625,18.4175 
en_XX_tuned_es_XX_1000,29.0028,8.9264,22.1165,22.1594,73.9759,71.0802,72.4396,19.0842 
en_XX_tuned_es_XX_10000,30.7096,10.6874,23.5208,23.5422,74.748,71.5449,73.0428,18.9057 
en_XX_tuned_ru_RU_10,13.6976,3.9748,11.6854,11.7041,68.9982,66.4872,67.6372,14.9752 
en_XX_tuned_ru_RU_100,17.5054,6.0432,14.4402,14.4415,69.0953,67.5148,68.2029,18.8261 
en_XX_tuned_ru_RU_1000,28.3505,10.7391,22.6431,22.6413,74.6921,71.4171,72.9639,16.6667 
en_XX_tuned_ru_RU_10000,30.4943,12.1179,24.0695,24.0515,74.7154,72.3982,73.4823,19.1035 
en_XX_tuned_es_XX,31.4044,11.8682,24.2619,24.3237,75.2379,71.8008,73.415,18.6465 
en_XX_tuned_ru_RU,32.4799,14.0545,26.2055,26.193,76.5395,72.8447,74.5878,16.8986 
multilingual_en_XX,38.2863,15.0188,30.3429,30.3623,79.4028,76.8916,78.0874,16.8821 
multilingual_es_XX,32.414,12.7084,25.5019,25.4758,75.7532,72.2798,73.9116,18.0337 
multilingual_ru_RU,32.8942,14.2989,26.4802,26.5,76.744,73.032,74.7863,16.6812 
